npi,pagerank,indegree,outdegree,community_id,doctor_self_pats,total_pats_in_community,total_doctors_in_community,total_links_in_community
0250584036,0.009773183346320605,0.0,1.0,1,19,31,2,1
3733829210,0.018080239712989284,1.0,0.0,1,14,31,2,1
0329757128,0.02038492834143316,1.0,1.0,2,111,224,2,1
8207899456,0.035407391063113525,2.0,0.0,3,187,189,2,1
0888901330,0.03575328666074559,3.0,2.0,4,276,341,2,1
0941734431,0.02496831338938975,1.0,2.0,2,116,224,2,1
7183629035,0.02496831338938975,1.0,0.0,4,68,341,2,1
1052105939,0.018080239712989284,1.0,1.0,5,147,307,3,2
7132269719,0.025141541665633038,1.0,0.0,5,110,307,3,2
1118085171,0.009773183346320605,0.0,1.0,6,18,37,2,1
0386395240,0.018080239712989284,1.0,0.0,6,22,37,2,1
1586461282,0.009773183346320605,0.0,1.0,7,44,62,2,1
3052935797,0.018080239712989284,1.0,0.0,7,20,62,2,1
1627419782,0.009773183346320605,0.0,1.0,8,15,194,2,1
9979265126,0.025764418872645498,2.0,0.0,8,181,194,2,1
1675753794,0.009773183346320605,0.0,1.0,9,3,3,2,1
6757613558,0.018080239712989284,1.0,0.0,9,2,3,2,1
1816946469,0.009773183346320605,0.0,1.0,5,56,307,3,2
1973668724,0.009773183346320605,0.0,3.0,10,124,165,4,3
2827371504,0.012542202135210165,1.0,0.0,10,17,165,4,3
3566010763,0.012542202135210165,1.0,0.0,10,9,165,4,3
5959271996,0.012542202135210165,1.0,0.0,10,23,165,4,3
2052541087,0.018080239712989284,1.0,2.0,11,139,139,2,1
2240153664,0.009773183346320605,0.0,1.0,3,4,189,2,1
2273755307,0.009773183346320605,0.0,1.0,12,2,2,2,1
4423646859,0.018080239712989284,1.0,0.0,12,2,2,2,1
2534553638,0.009773183346320605,0.0,1.0,13,3,119,3,2
3517371403,0.018080239712989284,1.0,2.0,13,81,119,3,2
3077436761,0.009773183346320605,0.0,1.0,14,16,60,2,1
6027867186,0.018080239712989284,1.0,0.0,14,46,60,2,1
3177196045,0.009773183346320605,0.0,1.0,15,21,27,2,1
8926674992,0.018080239712989284,1.0,0.0,15,8,27,2,1
3287478207,0.009773183346320605,0.0,1.0,16,11,11,2,1
8743612439,0.018080239712989284,1.0,0.0,16,2,11,2,1
0244023800,0.01745736250597682,1.0,0.0,13,39,119,3,2
3552796390,0.03936114226309521,1.0,2.0,17,109,115,2,1
6168250123,0.026495799193089097,1.0,0.0,17,8,115,2,1
7481398045,0.034802855559757775,2.0,1.0,18,90,133,2,1
3553212654,0.009773183346320605,0.0,1.0,19,9,15,2,1
0488127880,0.018080239712989284,1.0,0.0,19,8,15,2,1
4234138286,0.009773183346320605,0.0,1.0,20,23,24,2,1
6910009885,0.018080239712989284,1.0,0.0,20,4,24,2,1
5111491524,0.009773183346320605,0.0,1.0,18,46,133,2,1
5260020794,0.009773183346320605,0.0,1.0,21,2,28,2,1
3848572147,0.018080239712989284,1.0,0.0,21,28,28,2,1
5554267915,0.009773183346320605,0.0,1.0,22,72,139,2,1
5038386362,0.018080239712989284,1.0,0.0,22,69,139,2,1
5554544346,0.009773183346320605,0.0,1.0,23,26,89,2,1
1033456526,0.018080239712989284,1.0,0.0,23,65,89,2,1
6016795167,0.009773183346320605,0.0,1.0,24,2,2,2,1
6228549310,0.018080239712989284,1.0,0.0,24,2,2,2,1
6743157602,0.009773183346320605,0.0,1.0,25,81,101,2,1
4085672518,0.018080239712989284,1.0,0.0,25,22,101,2,1
7689992118,0.009773183346320605,0.0,1.0,26,9,9,2,1
8427535881,0.018080239712989284,1.0,0.0,26,2,9,2,1
7747186276,0.009773183346320605,0.0,1.0,11,2,139,2,1
8411898039,0.009773183346320605,0.0,1.0,27,51,93,2,1
2503159927,0.018080239712989284,1.0,0.0,27,45,93,2,1
8975405682,0.009773183346320605,0.0,1.0,28,2,3,2,1
0610030922,0.018080239712989284,1.0,0.0,28,3,3,2,1
9387254202,0.009773183346320605,0.0,1.0,29,24,24,2,1
5028041230,0.018080239712989284,1.0,0.0,29,2,24,2,1
